DateTime;P_Load;Q_Load
2024/05/19 14:15;0,395;0,13
2024/05/19 14:20;0,397;0,13
2024/05/19 14:25;0,398;0,131
2024/05/19 14:30;0,4;0,131
2024/05/19 14:35;0,402;0,132
2024/05/19 14:40;0,403;0,132
2024/05/19 14:45;0,405;0,133
2024/05/19 14:50;0,407;0,134
2024/05/19 14:55;0,408;0,134
2024/05/19 15:00;0,41;0,135
2024/05/19 15:05;0,412;0,135
2024/05/19 15:10;0,413;0,136
2024/05/19 15:15;0,415;0,136
2024/05/19 15:20;0,417;0,137
2024/05/19 15:25;0,418;0,137
2024/05/19 15:30;0,42;0,138
2024/05/19 15:35;0,422;0,139
2024/05/19 15:40;0,423;0,139
2024/05/19 15:45;0,425;0,14
2024/05/19 15:50;0,427;0,14
2024/05/19 15:55;0,428;0,141
2024/05/19 16:00;0,43;0,141
2024/05/19 16:05;0,432;0,142
2024/05/19 16:10;0,433;0,142
2024/05/19 16:15;0,435;0,143
2024/05/19 16:20;0,437;0,144
2024/05/19 16:25;0,438;0,144
2024/05/19 16:30;0,44;0,145
2024/05/19 16:35;0,442;0,145
2024/05/19 16:40;0,443;0,146
2024/05/19 16:45;0,445;0,146
2024/05/19 16:50;0,447;0,147
2024/05/19 16:55;0,448;0,147
2024/05/19 17:00;0,45;0,148
2024/05/19 17:05;0,455;0,15
2024/05/19 17:10;0,46;0,151
2024/05/19 17:15;0,465;0,153
2024/05/19 17:20;0,47;0,154
2024/05/19 17:25;0,474;0,156
2024/05/19 17:30;0,478;0,157
2024/05/19 17:35;0,481;0,158
2024/05/19 17:40;0,485;0,159
2024/05/19 17:45;0,488;0,16
2024/05/19 17:50;0,49;0,161
2024/05/19 17:55;0,492;0,162
2024/05/19 18:00;0,494;0,162
2024/05/19 18:05;0,496;0,163
2024/05/19 18:10;0,498;0,164
2024/05/19 18:15;0,499;0,164
2024/05/19 18:20;0,499;0,164
2024/05/19 18:25;0,5;0,164
2024/05/19 18:30;0,5;0,164
2024/05/19 18:35;0,5;0,164
2024/05/19 18:40;0,499;0,164
2024/05/19 18:45;0,499;0,164
2024/05/19 18:50;0,498;0,164
2024/05/19 18:55;0,496;0,163
2024/05/19 19:05;0,492;0,162
2024/05/19 19:10;0,49;0,161
2024/05/19 19:15;0,488;0,16
2024/05/19 19:25;0,481;0,158
2024/05/19 19:30;0,478;0,157
2024/05/19 19:35;0,474;0,156
2024/05/19 19:40;0,47;0,154
2024/05/19 19:45;0,465;0,153
2024/05/19 19:50;0,46;0,151
2024/05/19 19:55;0,455;0,15
2024/05/19 20:00;0,45;0,148
2024/05/19 20:05;0,362;0,119
2024/05/19 20:15;0,186;0,061
2024/05/19 20:25;0,01;0,003
